Iteration	Replicate_ID	Posterior	Likelihood	Prior	br_len_lambda	tree_length
332	0	-6707.702	-6733.833	26.13141	20.90958	5.153066
333	1	-6685.402	-6724.303	38.90101	26.08309	4.559512
334	0	-6683.032	-6719.171	36.13837	25.47793	4.676879
335	1	-6674.536	-6714.556	40.01959	25.02151	4.529086
336	0	-6700.922	-6730.242	29.32075	21.96339	5.003986
337	1	-6695.62	-6729.788	34.16774	25.48925	4.753994
338	0	-6704.646	-6735.532	30.88538	18.7899	4.861126
339	1	-6696.903	-6733.502	36.59928	22.45303	4.677299
340	0	-6707.862	-6737.189	29.32688	21.03007	5.001322
341	1	-6701.99	-6727.833	25.84226	22.27637	5.158798
342	0	-6698.034	-6734.732	36.69782	20.98729	4.649751
343	1	-6711.049	-6744.218	33.16895	21.1224	4.820127
344	0	-6695.701	-6724.167	28.46628	22.19754	5.04157
345	1	-6705.007	-6732.604	27.59703	22.39336	5.078872
346	0	-6710.332	-6735.508	25.17576	26.3074	5.077437
347	1	-6712.005	-6739.798	27.79274	26.18876	4.981914
348	0	-6690.74	-6721.416	30.67552	20.5468	4.930166
349	1	-6689.603	-6722.979	33.37596	26.00645	4.773201
350	0	-6695.731	-6730.507	34.77596	23.429	4.757168
351	1	-6689.078	-6723.399	34.32058	19.47488	4.714481
352	0	-6696.181	-6727.306	31.12512	20.05589	4.897071
353	1	-6703.22	-6731.758	28.53799	24.77038	4.994536
354	0	-6695.038	-6726.162	31.12344	20.71754	4.911403
355	1	-6696.035	-6735.853	39.8183	24.54881	4.540555
356	0	-6684.25	-6713.747	29.49665	24.07983	4.971008
357	1	-6698.942	-6729.873	30.93071	22.03414	4.930703
358	0	-6711.246	-6738.32	27.07394	16.72565	4.927393
359	1	-6707.108	-6729.877	22.76881	24.18709	5.247
360	0	-6694.85	-6722.972	28.12189	24.90914	5.007645
361	1	-6704.923	-6736.748	31.82545	21.0188	4.882356
362	0	-6713.256	-6742.564	29.30745	20.68587	4.998661
363	1	-6701.132	-6732.702	31.57057	19.81266	4.86757
364	0	-6704.452	-6734.111	29.65924	20.62815	4.980847
365	1	-6683.591	-6721.312	37.72156	20.28376	4.577541
366	0	-6701.043	-6729.705	28.66214	19.47089	5.004909
367	1	-6702.164	-6729.015	26.85143	27.31827	4.976781
368	0	-6707.577	-6739.168	31.59062	21.94937	4.900609
369	1	-6699.577	-6730.875	31.29839	21.37668	4.911173
370	0	-6713.652	-6743.676	30.02324	24.39473	4.942855
371	1	-6704.983	-6731.176	26.19259	17.80091	5.062705
372	0	-6711.332	-6739.391	28.05903	21.06267	5.061776
373	1	-6690.588	-6720.945	30.3572	26.76832	4.86632
374	0	-6704.889	-6733.002	28.11314	22.51335	5.054635
375	1	-6694.234	-6721.466	27.23243	18.33328	5.034798
376	0	-6716.409	-6736.749	20.34037	20.52526	5.433309
377	1	-6691.632	-6722.577	30.94563	24.51546	4.902659
378	0	-6696.918	-6726.192	29.27475	20.91779	5.002814
379	1	-6691.106	-6725.858	34.75118	24.15605	4.751951
380	0	-6705.238	-6732.83	27.59204	21.12523	5.084164
381	1	-6698.685	-6730.393	31.70806	21.70563	4.89434
382	0	-6694.574	-6726.636	32.06143	24.20293	4.862545
383	1	-6699.967	-6733.489	33.52181	19.65904	4.763173
384	0	-6698.54	-6728.687	30.14731	23.50451	4.953638
385	1	-6705.38	-6734.901	29.52088	25.05566	4.947808
386	0	-6708.605	-6737.946	29.34081	23.5749	4.986794
387	1	-6685.996	-6717.535	31.53931	25.14938	4.865142
388	0	-6690.37	-6722.411	32.0407	22.64646	4.879735
389	1	-6708.972	-6741.656	32.68363	22.36977	4.851728
390	0	-6694.136	-6731.978	37.84225	21.1163	4.598719
391	1	-6710.086	-6743.131	33.0454	24.19143	4.822057
392	0	-6698.186	-6733.894	35.70801	26.72861	4.667381
