Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
188	0	-6635.694	-6680.691	44.99687	1.302949	25.33296	0.193216	0.552094	1.0364	2.21829	3.689282
189	1	-6658.261	-6691.242	32.9808	2.291383	27.48215	0.325741	0.682807	1.07582	1.91563	4.157182
190	0	-6647.44	-6682.105	34.66574	1.422348	28.48732	0.213074	0.575099	1.04552	2.16631	4.086785
191	1	-6654.711	-6693.82	39.1092	2.491646	26.48694	0.345663	0.698831	1.07853	1.87697	3.932162
192	0	-6637.804	-6672.25	34.44545	2.167126	26.28528	0.31244	0.671685	1.07366	1.94222	4.108436
193	1	-6649.271	-6675.179	25.90764	2.044052	25.91439	0.298477	0.659618	1.07105	1.97085	4.437595
194	0	-6657.75	-6683.959	26.20989	1.870656	26.99616	0.27733	0.640515	1.06639	2.01577	4.411747
195	1	-6654.222	-6683.037	28.81441	2.808626	24.64685	0.373893	0.72035	1.08139	1.82437	4.328238
196	0	-6648.577	-6676.295	27.71772	1.846403	24.11014	0.274224	0.637619	1.06562	2.02253	4.371339
197	1	-6643.519	-6684.391	40.87177	1.906427	28.5893	0.281843	0.64468	1.06746	2.00602	3.868542
198	0	-6655.008	-6682.748	27.74008	2.284574	27.30354	0.325032	0.682222	1.07572	1.91703	4.350642
199	1	-6653.477	-6686.376	32.8998	2.273272	29.18211	0.32385	0.681246	1.07553	1.91937	4.138544
200	0	-6656.957	-6692.023	35.06637	2.127177	24.78452	0.307997	0.66789	1.07287	1.95124	4.076229
201	1	-6634.513	-6673.129	38.61587	2.078233	26.76166	0.302438	0.663083	1.07183	1.96265	3.951747
