Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
194	0	-4097.044	-4078.794	-18.25023	2.719555	18.10145	0.366331	0.714715	1.08073	1.83822	6.89903
195	1	-4126.03	-4113.263	-12.76717	3.101435	17.7424	0.39696	0.736994	1.08297	1.78307	6.606054
196	0	-4106.482	-4097.133	-9.349021	3.579083	16.1105	0.42963	0.759268	1.08419	1.72691	6.406541
197	1	-4135.977	-4117.838	-18.13893	2.451251	16.45896	0.341786	0.695769	1.07805	1.88439	6.947635
198	0	-4106.459	-4094.854	-11.60524	2.710301	17.9029	0.36553	0.714112	1.08066	1.8397	6.536977
199	1	-4102.365	-4090.016	-12.34888	2.713443	14.11923	0.365802	0.714317	1.08068	1.8392	6.494844
200	0	-4116.483	-4103.976	-12.50693	3.005977	19.15388	0.389724	0.731858	1.08255	1.79587	6.54252
201	1	-4115.459	-4093.362	-22.09722	3.001544	13.94113	0.389381	0.731613	1.08252	1.79648	7.176729
202	0	-4112.567	-4102.343	-10.22469	3.628839	18.96251	0.432733	0.76131	1.08425	1.72171	6.430373
203	1	-4105.029	-4086.807	-18.22214	2.760278	16.59118	0.369822	0.717328	1.08105	1.8318	6.950184
204	0	-4103.308	-4096.678	-6.629808	3.724066	18.56435	0.43853	0.765092	1.08433	1.71205	6.249764
205	1	-4118.28	-4105.076	-13.20388	2.998198	16.19151	0.389122	0.731428	1.08251	1.79694	6.646571
206	0	-4115.28	-4106.828	-8.451512	3.732424	22.34829	0.43903	0.765416	1.08434	1.71122	6.177205
207	1	-4128.525	-4109.382	-19.14261	2.658094	16.35672	0.360951	0.710649	1.08022	1.84819	7.010627
208	0	-4107.507	-4097.55	-9.957174	2.615892	18.41885	0.357176	0.707768	1.07983	1.85523	6.433091
209	1	-4116.992	-4107.386	-9.606416	2.871178	22.15816	0.379044	0.724136	1.0818	1.81502	6.240475
210	0	-4123.619	-4115.693	-7.92624	2.783043	17.41038	0.371749	0.718761	1.08121	1.82828	6.335191
211	1	-4145.863	-4121.807	-24.05533	2.8391	13.30575	0.376418	0.722211	1.0816	1.81977	7.279992
212	0	-4093.291	-4092.77	-0.5215917	3.111355	17.07953	0.397697	0.737513	1.08301	1.78178	5.90131
213	1	-4101.516	-4099.185	-2.330721	3.240412	17.58731	0.407046	0.744026	1.08347	1.76546	6.016254
214	0	-4106.579	-4097.503	-9.076103	2.904577	17.35147	0.381742	0.726104	1.082	1.81015	6.401575
215	1	-4099.562	-4089.567	-9.994996	2.406517	21.24067	0.337411	0.692282	1.07748	1.89282	6.311993
216	0	-4111.793	-4098.056	-13.73718	3.756808	15.6956	0.440482	0.766356	1.08435	1.70881	6.672918
217	1	-4107.938	-4095.293	-12.64524	3.332614	16.49396	0.413462	0.748426	1.08373	1.75438	6.613948
218	0	-4113.82	-4098.202	-15.61775	5.169312	20.46522	0.508961	0.807907	1.08299	1.60014	6.628135
219	1	-4094.039	-4088.589	-5.449431	3.705438	15.82206	0.43741	0.764365	1.08432	1.71391	6.151487
220	0	-4110.211	-4095.523	-14.68797	2.651267	17.17769	0.360345	0.710188	1.08015	1.84931	6.72884
221	1	-4110.197	-4098.247	-11.95014	2.898295	17.30669	0.381238	0.725737	1.08197	1.81106	6.567849
222	0	-4100.057	-4087.06	-12.99751	3.314469	17.49085	0.412216	0.747576	1.08368	1.75653	6.624855
223	1	-4113.432	-4120.004	6.572154	2.997161	20.01174	0.389042	0.731371	1.0825	1.79709	5.547491
224	0	-4093.612	-4087.385	-6.227166	3.632749	19.19743	0.432974	0.761468	1.08425	1.72131	6.213478
225	1	-4120.72	-4108.977	-11.74362	3.3542	15.65926	0.414934	0.749428	1.08378	1.75186	6.544832
226	0	-4119.879	-4109.717	-10.16204	2.913733	17.84646	0.382476	0.726637	1.08206	1.80883	6.457422
227	1	-4112.028	-4100.436	-11.59232	4.988824	16.6442	0.501613	0.803692	1.08332	1.61137	6.550742
228	0	-4125.378	-4113.235	-12.14224	3.530489	21.02688	0.426549	0.757229	1.08412	1.7321	6.425958
229	1	-4110.994	-4101.674	-9.320598	3.838212	18.37377	0.445247	0.769422	1.08439	1.70094	6.399648
230	0	-4111.777	-4098.442	-13.33487	2.637676	15.8849	0.359133	0.709264	1.08003	1.85157	6.650969
231	1	-4101.912	-4089.512	-12.40014	2.794297	16.68184	0.372695	0.719463	1.08129	1.82655	6.599237
232	0	-4105.367	-4099.868	-5.499282	2.990983	15.10821	0.388563	0.731027	1.08247	1.79794	6.10959
