Iteration	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
1680	-4114.344	-4101.085	-13.25932	3.881213	18.29835	0.447715	0.770999	1.0844	1.69689	6.6167
1690	-4112.536	-4097.581	-14.95432	2.538132	14.09422	0.350042	0.702258	1.07905	1.86865	6.677368
1700	-4102.711	-4094.131	-8.579842	3.14024	15.79069	0.399828	0.739009	1.08313	1.77804	6.348147
1710	-4115.346	-4100.058	-15.28878	2.917128	17.12369	0.382747	0.726834	1.08207	1.80834	6.764999
1720	-4103.649	-4087.868	-15.78018	2.990327	13.54742	0.388512	0.730991	1.08247	1.79803	6.685868
1730	-4108.961	-4101.148	-7.813424	3.649798	16.99828	0.434024	0.762156	1.08427	1.71955	6.327749
1740	-4122.334	-4112.172	-10.16169	3.333987	20.58455	0.413556	0.74849	1.08373	1.75422	6.355412
1750	-4103.952	-4094.769	-9.182981	2.511666	16.39012	0.34756	0.700319	1.07876	1.87336	6.402336
1760	-4099.522	-4088.582	-10.93937	2.67227	16.56744	0.362204	0.7116	1.08034	1.84586	6.51108
1770	-4102.527	-4094.359	-8.168148	3.080476	18.94026	0.395393	0.735889	1.08289	1.78583	6.322577
1780	-4111.587	-4103.242	-8.345685	3.011095	16.18201	0.390118	0.73214	1.08257	1.79517	6.34627
1790	-4110.168	-4098.46	-11.70818	2.786343	16.08268	0.372027	0.718967	1.08124	1.82777	6.552515
1800	-4122.172	-4106.198	-15.97418	3.201548	15.68103	0.404277	0.74211	1.08335	1.77027	6.815268
1810	-4118.415	-4104.956	-13.4588	3.686808	21.88553	0.436283	0.763631	1.0843	1.71578	6.432807
1820	-4098.729	-4087.781	-10.94813	4.663937	16.6625	0.487491	0.795435	1.08383	1.63324	6.512119
1830	-4102.498	-4095.623	-6.875499	3.235819	19.11392	0.406721	0.743802	1.08346	1.76602	6.249645
1840	-4093.64	-4083.189	-10.45183	2.78924	18.12504	0.37227	0.719148	1.08126	1.82733	6.467654
1850	-4103.18	-4091.558	-11.62183	3.353629	14.73378	0.414895	0.749401	1.08378	1.75192	6.493012
1860	-4094.628	-4086.763	-7.864944	2.597359	15.79929	0.355497	0.706479	1.07965	1.85837	6.303228
1870	-4108.368	-4097.663	-10.70464	2.978855	16.50682	0.387619	0.73035	1.08241	1.79962	6.496412
1880	-4086.434	-4082.06	-4.373705	3.258366	18.9726	0.408312	0.744899	1.08352	1.76326	6.121624
1890	-4099.359	-4094.068	-5.291555	2.815638	19.24769	0.374477	0.720781	1.08144	1.8233	6.163472
1900	-4098.759	-4093.773	-4.986161	3.197689	15.67851	0.404	0.741918	1.08333	1.77075	6.114404
1910	-4105.248	-4088.544	-16.70377	3.203581	17.91205	0.404423	0.742211	1.08335	1.77001	6.821402
1920	-4095.227	-4081.352	-13.87515	3.474896	14.68482	0.422962	0.754839	1.08403	1.73817	6.64316
1930	-4105.861	-4093.253	-12.60867	2.421583	15.25449	0.338894	0.693468	1.07768	1.88996	6.586515
1940	-4095.339	-4087.273	-8.066666	3.374933	17.67462	0.416337	0.75038	1.08383	1.74945	6.341737
1950	-4092.201	-4084.249	-7.951819	2.974848	16.951	0.387307	0.730126	1.08239	1.80018	6.335553
1960	-4117.512	-4094.713	-22.7981	3.273821	16.48318	0.409395	0.745644	1.08357	1.76139	7.229875
1970	-4113.938	-4104.003	-9.934243	4.142534	17.35649	0.462025	0.779998	1.08435	1.67362	6.450991
1980	-4120.761	-4105.984	-14.77659	3.015901	16.66054	0.390488	0.732405	1.08259	1.79451	6.741903
1990	-4136.493	-4124.484	-12.00975	3.014159	15.63799	0.390354	0.732309	1.08259	1.79475	6.561202
2000	-4116.067	-4115.34	-0.7262985	2.617305	21.08285	0.357303	0.707866	1.07984	1.85499	5.881136
2010	-4113.614	-4106.952	-6.662276	3.377875	17.35425	0.416535	0.750514	1.08384	1.74911	6.262469
2020	-4112.575	-4107.274	-5.301014	3.513145	17.38686	0.425438	0.75649	1.0841	1.73398	6.184257
2030	-4126.978	-4114.563	-12.41545	3.486023	19.26879	0.423686	0.755322	1.08405	1.73694	6.532641
2040	-4120.309	-4112.69	-7.618344	1.66809	16.92377	0.25016	0.614337	1.05894	2.07657	6.315629
2050	-4112.569	-4098.644	-13.92488	3.462493	16.30727	0.422153	0.754297	1.08401	1.73954	6.691547
